dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,ElasticNet,ML,26.7871,9.8629,0.3826,1.3599,0.21,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,RandomForest,ML,32.4799,15.6914,0.0923,2.1957,10.32,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,ExtraTrees,ML,32.3605,14.6665,0.099,2.0445,1.2,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,KNN,ML,54.0076,32.3574,-1.5096,4.6092,1.91,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,CatBoost,ML,44.0499,25.8432,-0.6695,3.7297,1.71,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,LightGBM,ML,44.3887,25.434,-0.6953,3.6602,1.94,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,XGBoost,ML,44.1835,26.6287,-0.6796,3.8356,2.25,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,NGBoost,ML,30.4303,14.1379,0.2033,1.9905,140.73,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,Prophet,ML,42.512,27.4068,-0.555,3.858,9.37,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,SARIMAX,ML,625.8819,606.8107,-336.0392,88.3151,1.02,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,PatchTST,ML,49.3211,33.369,-1.093,4.7616,17.45,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts,H12,TFT,ML,43.9289,25.7383,-0.6603,3.6442,14.34,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,Naive,ML,46.4618,40.7553,-3.1112,14.7688,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,Ridge,ML,6.8199,3.2942,0.9114,1.1972,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,ElasticNet,ML,6.8455,3.1461,0.9108,1.1383,0.1,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,RandomForest,ML,14.8214,8.1017,0.5816,2.9664,9.96,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,ExtraTrees,ML,9.8033,6.1989,0.817,2.29,1.16,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,KNN,ML,20.8867,15.84,0.1692,5.6963,1.91,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,CatBoost,ML,18.2815,12.4053,0.3635,4.547,1.62,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,LightGBM,ML,13.1124,8.9841,0.6726,3.2809,1.73,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,XGBoost,ML,42.6178,31.2449,-2.4591,11.4009,2.16,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,NGBoost,ML,9.7193,5.892,0.8201,2.2193,140.5,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,Prophet,ML,65.5783,58.7925,-7.1903,21.3935,9.08,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,SARIMAX,ML,250.8913,244.2798,-118.8812,91.1451,0.92,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,PatchTST,ML,13.9059,9.478,0.6317,3.4503,25.69,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H1,TFT,ML,10.8269,6.1322,0.7768,2.2115,25.69,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,Naive,ML,43.5953,37.4704,-2.6193,13.5323,0.01,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,Ridge,ML,10.4724,5.0907,0.7911,1.85,0.02,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,ElasticNet,ML,10.0144,4.3621,0.809,1.5712,0.21,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,RandomForest,ML,26.9667,17.8007,-0.3848,6.5436,11.4,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,ExtraTrees,ML,18.1676,12.9207,0.3714,4.7324,1.15,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,KNN,ML,24.733,17.4126,-0.1649,6.2536,1.9,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,CatBoost,ML,19.3225,11.4098,0.289,4.2251,1.68,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,LightGBM,ML,23.4373,16.0752,-0.0461,5.9353,1.86,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,XGBoost,ML,24.0397,15.5223,-0.1005,5.7858,2.17,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,NGBoost,ML,19.7153,13.7326,0.2598,5.0306,139.87,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,Prophet,ML,65.1096,58.3647,-7.073,21.2375,9.62,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,SARIMAX,ML,250.7606,244.0338,-118.7473,91.0441,1.5,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,PatchTST,ML,20.2792,11.4555,0.2168,4.2185,25.73,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H5,TFT,ML,16.8268,8.4873,0.4608,3.0756,20.47,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,Naive,ML,41.5412,35.0806,-2.2858,12.6334,0.02,SUCCESS
