model,dataset,horizon,fold,RMSE,MAE,MAPE,R2,time_seconds,parameter_count,type,status
Chronos-2,ZWave7_bookcase_Sensor_power,H12,2,0.7123,0.097,417.4354,-196043.0552,815.78,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H1,0,0.0064,0.0001,0.0115,-0.0003,816.28,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H1,1,0.3432,0.2945,32.7267,-2.7929,829.53,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H1,2,0.4,0.4,44.4444,-3.2451855365842685e+30,827.82,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H5,0,0.0064,0.0001,0.0115,-0.0003,828.64,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H5,1,0.3433,0.2946,32.7309,-2.7943,828.48,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H5,2,0.4,0.4,44.4444,-3.2451855365842685e+30,830.66,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H12,0,0.0064,0.0001,0.0115,-0.0003,833.05,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H12,1,0.3433,0.2946,32.7382,-2.7967,838.61,120000000,Foundation,SUCCESS
Chronos-2,ZWave8_on_desk_Sensor_power,H12,2,0.4,0.4,44.4444,-3.2451855365842685e+30,839.4,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H1,0,3.7154,3.4755,14.9759,-6.616,965.0,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H1,1,52.5792,40.6971,46.5479,-1.4597,964.05,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H1,2,62.7342,61.9396,73.7946,-38.7268,963.32,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H5,0,3.7205,3.4767,14.9781,-6.6362,961.64,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H5,1,52.5842,40.7036,46.5542,-1.4602,961.59,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H5,2,62.732,61.9376,73.7941,-38.7352,968.34,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H12,0,3.7268,3.4781,14.9795,-6.6613,971.09,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H12,1,52.5927,40.7148,46.565,-1.4611,964.94,120000000,Foundation,SUCCESS
Chronos-2,ZWave_Node_031_SERVER_SB_Sensor_power,H12,2,62.7286,61.9345,73.7932,-38.7472,950.55,120000000,Foundation,SUCCESS
